canonical_defect_id,authority_sha256,source_file,source_locator,lease,classification,exact_source,proposed_correction,target_locator,disposition,rationale
SITES-COHOMOLOGY-001,5B335CE2C7208A128B3C744B8828D93508063F41A4FABBCE2E921F890928895C,sites-cohomology.tex,sites-cohomology.tex:10957,D,prose_missing_subject,"Since $\text{Map}(-, A)$ is a contravariant functor, implies that","Since $\text{Map}(-, A)$ is a contravariant functor, it follows that",sites-cohomology.part-d.fr.tex:219,corrected_in_translation,"The finite clause lacks a grammatical subject; the intended implication is unambiguous."
SITES-COHOMOLOGY-002,5B335CE2C7208A128B3C744B8828D93508063F41A4FABBCE2E921F890928895C,sites-cohomology.tex,sites-cohomology.tex:10967,D,wrong_derived_functor_side,"computes the left derived functors $H^n(\mathcal{C}, -)$ of $H^0(\mathcal{C}, -)$","computes the right derived functors $H^n(\mathcal{C}, -)$ of $H^0(\mathcal{C}, -)$",sites-cohomology.part-d.fr.tex:227,corrected_in_translation,"The displayed H^n are cohomological right derived functors; the immediately cited lemma is explicitly the right-derived delta-functor lemma."
SITES-COHOMOLOGY-003,5B335CE2C7208A128B3C744B8828D93508063F41A4FABBCE2E921F890928895C,sites-cohomology.tex,sites-cohomology.tex:11047,D,direct_sum_changed_to_product_inside_hom,"\Hom(\prod j_{U_i!}\mathcal{O}_{U_i}, p_{U, *}A)","\Hom(\bigoplus j_{U_i!}\mathcal{O}_{U_i}, p_{U, *}A)",sites-cohomology.part-d.fr.tex:303,corrected_in_translation,"The short exact sequence at source lines 11028-11030 has middle term \bigoplus j_{U_i!}\mathcal{O}_{U_i}; applying Hom contravariantly does not replace that source object by a product inside Hom."
SITES-COHOMOLOGY-004,5B335CE2C7208A128B3C744B8828D93508063F41A4FABBCE2E921F890928895C,sites-cohomology.tex,sites-cohomology.tex:11067,D,wrong_constant_simplicial_set,"This simplicial set is homotopy equivalent to the constant simplicial set on a singleton $\{*\}$","This simplicial set is homotopy equivalent to the constant simplicial set $\Mor_\mathcal{C}(U,U')$",sites-cohomology.part-d.fr.tex:323,corrected_in_translation,"The simplices are factorizations of every composite morphism U to U'; the augmentation lands in the discrete set \Mor_\mathcal{C}(U,U'), whose fibres are contractible. A singleton is correct only when that Hom-set has one element."
SITES-COHOMOLOGY-005,5B335CE2C7208A128B3C744B8828D93508063F41A4FABBCE2E921F890928895C,sites-cohomology.tex,sites-cohomology.tex:11149,D,wrong_cohomological_index,"H^p(M)(V) \otimes_{\mathcal{O}(V)} \mathcal{O}(U) \to H^b(M)(U)","H^b(M)(V) \otimes_{\mathcal{O}(V)} \mathcal{O}(U) \to H^b(M)(U)",sites-cohomology.part-d.fr.tex:404,corrected_in_translation,"The lemma fixes the top nonzero cohomological degree b and seeks the base-change map for H^b; p is unbound in the statement and proof."
SITES-COHOMOLOGY-006,5B335CE2C7208A128B3C744B8828D93508063F41A4FABBCE2E921F890928895C,sites-cohomology.tex,sites-cohomology.tex:11278,D,prose_typo,"For ever $U$ and $i$ let","For every $U$ and $i$ let",sites-cohomology.part-d.fr.tex:531,corrected_in_translation,"The quantifier is the ordinary English phrase for every; ever is a typographical omission of y."
SITES-COHOMOLOGY-007,5B335CE2C7208A128B3C744B8828D93508063F41A4FABBCE2E921F890928895C,sites-cohomology.tex,sites-cohomology.tex:11286-11287,D,wrong_cardinal_bound,"Observe that $|\Omega^i_U| \leq |K|$ because $\mathcal{S}_n^i(U)$ is so bounded.","Observe that $|\Omega^i_U| \leq \max(\kappa,|K|)$ because $\mathcal{S}_n^i(U)$ is so bounded.",sites-cohomology.part-d.fr.tex:540,corrected_in_translation,"The induction only bounds every S_n by max(kappa,|K|); it does not bound S_n by |K| when the fixed construction cardinal kappa is larger."
SITES-COHOMOLOGY-008,5B335CE2C7208A128B3C744B8828D93508063F41A4FABBCE2E921F890928895C,sites-cohomology.tex,sites-cohomology.tex:11290,D,missing_induction_subscript,"\mathcal{S}^i(U) \cup \Omega^i_U \subset \mathcal{F}^i(U)","\mathcal{S}_n^i(U) \cup \Omega^i_U \subset \mathcal{F}^i(U)",sites-cohomology.part-d.fr.tex:545,corrected_in_translation,"The construction is explicitly of S_{n+1} from S_n; an unsubscripted S is not defined in this paragraph and would not preserve the inductive chain."
SITES-COHOMOLOGY-009,5B335CE2C7208A128B3C744B8828D93508063F41A4FABBCE2E921F890928895C,sites-cohomology.tex,sites-cohomology.tex:11447,D,prose_grammar,"with containing those subsets and such that","containing those subsets and such that",sites-cohomology.part-d.fr.tex:703,corrected_in_translation,"The preposition with cannot govern the present participle in this construction; the intended relative description of the subcomplex is unambiguous."
SITES-COHOMOLOGY-010,5B335CE2C7208A128B3C744B8828D93508063F41A4FABBCE2E921F890928895C,sites-cohomology.tex,sites-cohomology.tex:11600,D,reversed_base_change_isomorphism,"H^i(M)(U) \to H^i(M)(V) \otimes_{\mathcal{O}(V)} \mathcal{O}(U)","H^i(M)(V) \otimes_{\mathcal{O}(V)} \mathcal{O}(U) \to H^i(M)(U)",sites-cohomology.part-d.fr.tex:862,corrected_in_translation,"The restriction map RΓ(V,M) to RΓ(U,M) and the cited characterization of quasi-coherence give the tensor base-change map from V to U, not a canonical arrow in the reverse direction."
SITES-COHOMOLOGY-011,5B335CE2C7208A128B3C744B8828D93508063F41A4FABBCE2E921F890928895C,sites-cohomology.tex,sites-cohomology.tex:11601-11602,D,unbound_object_symbol,"R\Gamma(V, K) \otimes_{\mathcal{O}(V)}^\mathbf{L} \mathcal{O}(U) \to R\Gamma(U, K)","R\Gamma(V, M) \otimes_{\mathcal{O}(V)}^\mathbf{L} \mathcal{O}(U) \to R\Gamma(U, M)",sites-cohomology.part-d.fr.tex:864-865,corrected_in_translation,"This converse paragraph fixes M as its only derived object and concludes that M belongs to QC(O); K is not introduced in the paragraph."
SITES-COHOMOLOGY-012,5B335CE2C7208A128B3C744B8828D93508063F41A4FABBCE2E921F890928895C,sites-cohomology.tex,sites-cohomology.tex:11671;start_byte=428122,D,section_complex_required_by_assumption,"(M^\bullet \otimes_{\mathcal{O}(U)} \mathcal{O}_U)^\#","(\mathcal{M}^\bullet(U) \otimes_{\mathcal{O}(U)} \mathcal{O}_U)^\#",sites-cohomology.part-d.fr.tex:932,corrected_in_translation,"The proof chooses the sheaf complex \mathcal{M}^\bullet at line 11639, while assumption (2) applies to the K-flat \mathcal{O}(U)-complex of sections \mathcal{M}^\bullet(U). The identical generic occurrence at authority line 11619 remains unchanged."
SITES-COHOMOLOGY-013,5B335CE2C7208A128B3C744B8828D93508063F41A4FABBCE2E921F890928895C,sites-cohomology.tex,sites-cohomology.tex:11933,D,undefined_complex_symbol,"\SheafHom_\mathcal{O}(\mathcal{L}^{-q}, \mathcal{I}^p)","\SheafHom_\mathcal{O}(\mathcal{E}^{-q}, \mathcal{I}^p)",sites-cohomology.part-d.fr.tex:1197,corrected_in_translation,"The lemma and proof define the strictly perfect source complex \mathcal{E}^\bullet and the K-injective target \mathcal{I}^\bullet; no complex \mathcal{L}^\bullet is introduced, and the comparison complex immediately above uses \mathcal{E}^{-q}."
SITES-COHOMOLOGY-028,5B335CE2C7208A128B3C744B8828D93508063F41A4FABBCE2E921F890928895C,sites-cohomology.tex,sites-cohomology.tex:12001,D,reversed_natural_comparison_map,"(\mathcal{H}')^\bullet \to \mathcal{H}^\bullet","\mathcal{H}^\bullet \to (\mathcal{H}')^\bullet",sites-cohomology.part-d.fr.tex:1264,corrected_in_translation,"The comparison is induced covariantly in the second Hom argument by the chosen quasi-isomorphism \mathcal{F}^\bullet to \mathcal{I}^\bullet; hence it runs from the F-based total complex H to the I-based total complex H', as in the preceding strictly-perfect lemma."
SITES-COHOMOLOGY-014,5B335CE2C7208A128B3C744B8828D93508063F41A4FABBCE2E921F890928895C,sites-cohomology.tex,sites-cohomology.tex:112,A,prose_character_substitution,"it the {\it $i$th cohomology group ...}","is the {\it $i$th cohomology group ...}",sites-cohomology.part-a.fr.tex:112,corrected_in_translation,"Canon replay identifies the minimal source repair as byte [3979,3980) t→s; the French « est le » was already semantically exact and is unchanged."
SITES-COHOMOLOGY-015,5B335CE2C7208A128B3C744B8828D93508063F41A4FABBCE2E921F890928895C,sites-cohomology.tex,sites-cohomology.tex:115,A,wrong_module_category,"\textit{Mod}(\mathcal{C}) \to \text{Mod}_{\Gamma(\mathcal{C}, \mathcal{O})}","\textit{Mod}(\mathcal{O}) \to \text{Mod}_{\Gamma(\mathcal{C}, \mathcal{O})}",sites-cohomology.part-a.fr.tex:115,corrected_in_translation,"The source category is the category of sheaves of O-modules, hence Mod(O), as fixed throughout the surrounding passage."
SITES-COHOMOLOGY-016,5B335CE2C7208A128B3C744B8828D93508063F41A4FABBCE2E921F890928895C,sites-cohomology.tex,sites-cohomology.tex:684,A,wrong_ambient_category,"a morphism of $\mathcal{O}$","a morphism of $\mathcal{C}$",sites-cohomology.part-a.fr.tex:685,corrected_in_translation,"U and V are objects of the site C; their arrow is a morphism of C, not a morphism of the structure sheaf O."
SITES-COHOMOLOGY-017,5B335CE2C7208A128B3C744B8828D93508063F41A4FABBCE2E921F890928895C,sites-cohomology.tex,sites-cohomology.tex:990,A,wrong_fibre_product_base,"\times_u U_{i_{p + 1}}","\times_U U_{i_{p + 1}}",sites-cohomology.part-a.fr.tex:991,corrected_in_translation,"Every factor in the Cech fibre product is taken over U; lowercase u is undefined and inconsistent with the adjacent factors."
SITES-COHOMOLOGY-018,5B335CE2C7208A128B3C744B8828D93508063F41A4FABBCE2E921F890928895C,sites-cohomology.tex,sites-cohomology.tex:2087,A,reversed_surjection,"assume $K \to K'$ is a surjective map of sheaves","assume $K' \to K$ is a surjective map of sheaves",sites-cohomology.part-a.fr.tex:2067,corrected_in_translation,"The lemma's hypothesis and the singleton covering used next both have direction K' to K."
SITES-COHOMOLOGY-019,5B335CE2C7208A128B3C744B8828D93508063F41A4FABBCE2E921F890928895C,sites-cohomology.tex,"sites-cohomology.tex:2161;sites-cohomology.tex:2164",A,undefined_symbols,"g^{-1}\mathcal{I}","\mathcal{F}","sites-cohomology.part-a.fr.tex:2142;sites-cohomology.part-a.fr.tex:2145",corrected_in_translation,"The lemma is about F and defines neither g nor I; its conclusion also uses F. Three occurrences in the two cited formulae are corrected."
SITES-COHOMOLOGY-020,5B335CE2C7208A128B3C744B8828D93508063F41A4FABBCE2E921F890928895C,sites-cohomology.tex,sites-cohomology.tex:2189,A,prose_typo,"covering to $H^{p + q}(K, \mathcal{F})$","converging to $H^{p + q}(K, \mathcal{F})$",sites-cohomology.part-a.fr.tex:2170,corrected_in_translation,"A spectral sequence converges to its abutment; covering is an evident typographical substitution."
SITES-COHOMOLOGY-021,5B335CE2C7208A128B3C744B8828D93508063F41A4FABBCE2E921F890928895C,sites-cohomology.tex,sites-cohomology.tex:2315,A,undefined_topos_index,"\mathcal{O}_\mathcal{X}","\mathcal{O}_\mathcal{C}",sites-cohomology.part-a.fr.tex:2292,corrected_in_translation,"X is undefined; the injective module lives on the source topos indexed by C."
SITES-COHOMOLOGY-022,5B335CE2C7208A128B3C744B8828D93508063F41A4FABBCE2E921F890928895C,sites-cohomology.tex,sites-cohomology.tex:2361-2362,A,wrong_spectral_sequence_property,"conditions that force the Leray spectral sequence to converge","conditions that force the Leray spectral sequence to degenerate","sites-cohomology.part-a.fr.tex:2339-2340",corrected_in_translation,"Convergence was established by the preceding lemma; the stated vanishing conditions force degeneration."
SITES-COHOMOLOGY-023,5B335CE2C7208A128B3C744B8828D93508063F41A4FABBCE2E921F890928895C,sites-cohomology.tex,"sites-cohomology.tex:2420;sites-cohomology.tex:2423;sites-cohomology.tex:2424",A,prose_typos,"an representative; It preserved; as indicated we indicate","a representative; It preserves; as indicated we denote",sites-cohomology.part-a.fr.tex:2398-2402,corrected_in_translation,"Canon replay preserves finite verbs in all three repairs; the existing French « d'un représentant », « Il préserve », and « comme annoncé, nous notons » is already exact and is unchanged."
